"Date","Time","OpenBid","HighBid","LowBid","CloseBid","OpenAsk","HighAsk","LowAsk","CloseAsk","Total Ticks"
01/02/2019,05:00:00,1.14438,1.14778,1.14438,1.1477,1.14465,1.14803,1.14465,1.14794,5376
01/02/2019,06:00:00,1.1477,1.14957,1.14759,1.14842,1.14794,1.14981,1.14784,1.14868,11891
01/02/2019,07:00:00,1.14842,1.14921,1.14727,1.14755,1.14868,1.14945,1.1475,1.14781,15746
01/02/2019,08:00:00,1.14755,1.1477,1.14276,1.14469,1.14781,1.14794,1.14301,1.14495,33857
01/02/2019,09:00:00,1.14469,1.14487,1.1421,1.1433,1.14495,1.14511,1.14234,1.14354,27032
01/02/2019,10:00:00,1.1433,1.14407,1.14309,1.14359,1.14354,1.14431,1.14333,1.14384,17815
01/02/2019,11:00:00,1.14359,1.14379,1.14235,1.14327,1.14384,1.14404,1.14259,1.14351,15980
01/02/2019,12:00:00,1.14327,1.1433,1.13966,1.14039,1.14351,1.14354,1.13991,1.14064,19976
01/02/2019,13:00:00,1.14039,1.14045,1.13662,1.13705,1.14064,1.1407,1.13687,1.1373,33837
01/02/2019,14:00:00,1.13705,1.13743,1.13568,1.13597,1.1373,1.13767,1.13592,1.1362,30906
01/02/2019,15:00:00,1.13597,1.13686,1.13407,1.13526,1.1362,1.1371,1.13432,1.13552,38357
01/02/2019,16:00:00,1.13526,1.13612,1.13477,1.13553,1.13552,1.13635,1.13501,1.13578,22836
01/02/2019,17:00:00,1.13553,1.13561,1.13302,1.13341,1.13578,1.13584,1.13324,1.13366,22538
01/02/2019,18:00:00,1.13341,1.13353,1.1325,1.13269,1.13366,1.13377,1.13273,1.13294,14098
01/02/2019,19:00:00,1.13269,1.13431,1.1324,1.13426,1.13294,1.13455,1.13264,1.1345,12559
01/02/2019,20:00:00,1.13426,1.13466,1.13394,1.13444,1.1345,1.13491,1.13418,1.1347,12145
01/02/2019,21:00:00,1.13444,1.13465,1.13389,1.13416,1.1347,1.13492,1.13415,1.13454,5227
01/02/2019,22:00:00,1.13416,1.13561,1.13053,1.13294,1.13454,1.13654,1.13133,1.13493,13608
01/02/2019,23:00:00,1.13294,1.13503,1.1308,1.13112,1.13493,1.13591,1.13109,1.1314,18091
01/03/2019,00:00:00,1.13112,1.13455,1.13087,1.13388,1.1314,1.13481,1.13115,1.1341,12251
01/03/2019,01:00:00,1.13388,1.13515,1.13387,1.13473,1.1341,1.1354,1.1341,1.135,11366
01/03/2019,02:00:00,1.13473,1.13604,1.13449,1.13571,1.135,1.1363,1.13475,1.13598,10373
01/03/2019,03:00:00,1.13571,1.13704,1.13557,1.13636,1.13598,1.1373,1.13583,1.13662,8002
01/03/2019,04:00:00,1.13636,1.13669,1.13594,1.13662,1.13662,1.13694,1.1362,1.13687,4550
01/03/2019,05:00:00,1.13662,1.13688,1.13559,1.13599,1.13687,1.13713,1.13584,1.13624,8412
01/03/2019,06:00:00,1.13599,1.13756,1.13537,1.13712,1.13624,1.13783,1.13563,1.13738,10366
01/03/2019,07:00:00,1.13712,1.13758,1.13605,1.13686,1.13738,1.13784,1.13629,1.13712,22791
01/03/2019,08:00:00,1.13686,1.13828,1.13529,1.13789,1.13712,1.13854,1.13554,1.13814,35288
01/03/2019,09:00:00,1.13789,1.13829,1.13719,1.13747,1.13814,1.13855,1.13743,1.13772,20073
01/03/2019,10:00:00,1.13747,1.13784,1.13623,1.13672,1.13772,1.13809,1.13648,1.13696,19398
01/03/2019,11:00:00,1.13672,1.13706,1.13393,1.13403,1.13696,1.13732,1.13417,1.13429,20187
01/03/2019,12:00:00,1.13403,1.13543,1.13385,1.13424,1.13429,1.13567,1.13409,1.13448,15897
01/03/2019,13:00:00,1.13424,1.13659,1.13364,1.13644,1.13448,1.13685,1.13388,1.13669,29650
01/03/2019,14:00:00,1.13644,1.13712,1.13603,1.13635,1.13669,1.13737,1.13626,1.13661,26929
01/03/2019,15:00:00,1.13635,1.14082,1.13635,1.13916,1.13661,1.14107,1.13661,1.13942,71625
01/03/2019,16:00:00,1.13916,1.141,1.13857,1.13973,1.13942,1.14125,1.13883,1.13998,44532
01/03/2019,17:00:00,1.13973,1.14048,1.13922,1.13977,1.13998,1.14071,1.13945,1.14002,24913
01/03/2019,18:00:00,1.13977,1.14057,1.13953,1.13996,1.14002,1.14081,1.13978,1.14021,16999
01/03/2019,19:00:00,1.13996,1.1403,1.13815,1.13903,1.14021,1.14053,1.13842,1.13928,15819
01/03/2019,20:00:00,1.13903,1.14004,1.13885,1.13972,1.13928,1.14029,1.1391,1.13996,17879
01/03/2019,21:00:00,1.13972,1.13985,1.1392,1.1392,1.13996,1.1401,1.13948,1.13952,4372
